,A,B,C,D
2701,mainHall,mainHall,hallA,out
2702,out,hallB,other,out
2703,mainHall,hallB,mainHall,out
2704,mainHall,mainHall,hallA,out
2705,mainHall,mainHall,hallA,out
2706,other,other,other,out
2707,mainHall,mainHall,mainHall,out
2708,other,other,other,out
2709,out,other,out,out
2710,mainHall,mainHall,hallA,out
2711,mainHall,mainHall,hallA,out
2712,mainHall,mainHall,hallA,out
2713,mainHall,hallB,mainHall,out
2714,other,other,out,out
2715,mainHall,hallB,out,out
2716,mainHall,mainHall,out,out
2717,mainHall,mainHall,hallA,out
2718,exhibition,mainHall,out,out
2719,mainHall,mainHall,hallA,out
2720,mainHall,hallB,out,out
2721,other,other,other,out
2722,mainHall,mainHall,hallA,out
2723,mainHall,mainHall,mainHall,out
2724,out,out,mainHall,out
2725,out,hallC,hallA,out
2726,mainHall,mainHall,mainHall,out
2727,out,hallA,hallA,out
2728,mainHall,mainHall,mainHall,out
2729,mainHall,hallB,mainHall,out
2730,mainHall,mainHall,hallA,out
2731,mainHall,mainHall,hallA,out
2732,mainHall,mainHall,other,out
2733,mainHall,mainHall,mainHall,out
2734,out,mainHall,mainHall,out
2735,out,hallB,other,out
2736,out,hallB,other,out
2737,mainHall,mainHall,hallA,out
2738,other,other,other,out
2739,mainHall,mainHall,other,out
2740,mainHall,hallB,mainHall,out
2741,other,hallB,out,out
2742,other,other,out,out
2743,out,hallB,hallB,out
2744,other,other,other,out
2745,other,hallB,out,out
2746,exhibition,other,out,out
2747,out,hallB,out,out
2748,mainHall,mainHall,hallA,out
2749,other,hallB,other,out
2750,other,other,other,out
2751,other,hallB,other,out
2752,other,out,out,out
2753,mainHall,mainHall,hallA,out
2754,other,other,other,out
2755,other,other,other,out
2756,mainHall,mainHall,hallA,out
2757,out,hallA,hallA,out
2758,mainHall,mainHall,hallA,out
2759,mainHall,other,out,out
2760,other,out,out,out
2761,mainHall,mainHall,out,out
2762,mainHall,mainHall,mainHall,out
2763,out,other,other,out
2764,mainHall,hallB,other,out
2765,out,hallB,other,out
2766,mainHall,mainHall,hallA,out
2767,mainHall,mainHall,hallA,out
2768,other,hallA,hallA,out
2769,other,other,other,out
2770,mainHall,other,mainHall,out
2771,mainHall,mainHall,mainHall,out
2772,mainHall,mainHall,mainHall,out
2773,mainHall,mainHall,hallA,out
2774,mainHall,mainHall,hallA,out
2775,other,hallB,hallB,out
2776,out,hallB,other,out
2777,mainHall,mainHall,hallA,out
2778,out,hallC,out,out
2779,mainHall,mainHall,hallA,out
2780,out,out,other,out
2781,mainHall,mainHall,mainHall,out
2782,mainHall,hallB,other,out
2783,mainHall,mainHall,hallA,out
2784,mainHall,mainHall,hallA,out
2785,mainHall,out,out,out
2786,mainHall,mainHall,hallA,out
2787,mainHall,mainHall,hallA,out
2788,out,out,out,out
2789,mainHall,mainHall,hallA,out
2790,mainHall,other,out,out
2791,mainHall,mainHall,mainHall,out
2792,mainHall,mainHall,other,out
2793,out,hallB,mainHall,out
2794,out,mainHall,mainHall,out
2795,other,other,hallA,out
2796,out,out,out,out
2797,mainHall,mainHall,hallA,out
2798,out,hallB,other,out
2799,mainHall,mainHall,hallA,out
2800,mainHall,mainHall,other,out
2801,out,out,out,out
2802,other,other,other,out
2803,mainHall,hallB,out,out
2804,mainHall,mainHall,hallA,out
2805,mainHall,hallB,hallA,out
2806,out,exhibition,out,out
2807,mainHall,mainHall,hallA,out
2808,out,hallC,hallC,out
2809,mainHall,mainHall,hallA,out
2810,mainHall,mainHall,hallA,out
2811,mainHall,mainHall,hallA,out
2812,mainHall,mainHall,mainHall,out
2813,out,hallA,hallA,out
2814,mainHall,hallB,mainHall,out
2815,mainHall,mainHall,hallA,out
2816,other,other,other,out
2817,other,other,other,out
2818,mainHall,mainHall,other,out
2819,other,hallC,out,out
2820,mainHall,mainHall,out,out
2821,out,mainHall,mainHall,out
2822,mainHall,mainHall,other,out
2823,mainHall,out,out,out
2824,mainHall,mainHall,other,out
2825,out,hallA,hallA,out
2826,out,out,other,out
2827,out,hallB,other,out
2828,mainHall,exhibition,exhibition,out
2829,other,hallB,other,out
2830,out,hallB,other,out
2831,other,other,out,out
2832,other,hallC,hallC,out
2833,mainHall,hallB,mainHall,out
2834,out,mainHall,mainHall,out
2835,out,hallB,out,out
2836,mainHall,mainHall,other,out
2837,other,other,other,out
2838,mainHall,mainHall,other,out
2839,exhibition,exhibition,other,out
2840,mainHall,mainHall,hallA,out
2841,other,other,other,other
2842,mainHall,mainHall,hallA,out
2843,other,hallB,out,out
2844,mainHall,mainHall,hallA,out
2845,other,other,exhibition,out
2846,other,hallB,other,out
2847,mainHall,mainHall,hallA,out
2848,mainHall,mainHall,hallA,out
2849,mainHall,mainHall,hallA,out
2850,out,out,other,out
2851,other,other,out,out
2852,out,other,mainHall,out
2853,exhibition,mainHall,out,out
2854,mainHall,mainHall,out,out
2855,mainHall,mainHall,hallA,out
2856,out,mainHall,mainHall,out
2857,mainHall,out,out,out
2858,mainHall,mainHall,hallA,out
2859,mainHall,mainHall,hallA,out
2860,other,other,other,out
2861,other,hallB,other,out
2862,other,hallB,other,out
2863,mainHall,mainHall,other,out
2864,other,hallA,hallA,out
2865,other,hallC,hallC,out
2866,out,out,mainHall,out
2867,mainHall,mainHall,mainHall,out
2868,mainHall,mainHall,mainHall,out
2869,mainHall,other,mainHall,out
2870,out,mainHall,exhibition,out
2871,other,other,other,out
2872,out,hallB,out,out
2873,mainHall,mainHall,hallA,out
2874,mainHall,mainHall,hallA,out
2875,mainHall,mainHall,mainHall,out
2876,out,out,mainHall,out
2877,mainHall,out,out,out
2878,other,other,other,out
2879,out,hallB,hallB,out
2880,other,hallC,out,out
2881,mainHall,mainHall,other,out
2882,other,other,other,out
2883,mainHall,mainHall,mainHall,out
2884,other,hallB,out,out
2885,mainHall,other,mainHall,out
2886,mainHall,mainHall,mainHall,out
2887,mainHall,hallB,mainHall,out
2888,mainHall,hallB,mainHall,out
2889,mainHall,mainHall,other,out
2890,mainHall,mainHall,mainHall,out
2891,mainHall,mainHall,mainHall,out
2892,mainHall,mainHall,hallA,out
2893,exhibition,hallB,other,out
2894,exhibition,mainHall,mainHall,out
2895,mainHall,mainHall,hallA,out
2896,mainHall,mainHall,hallA,out
2897,mainHall,mainHall,mainHall,out
2898,out,hallB,out,out
2899,other,hallB,out,out
2900,mainHall,mainHall,hallA,out
2901,mainHall,mainHall,out,out
2902,mainHall,mainHall,hallA,out
2903,mainHall,mainHall,hallA,out
2904,mainHall,mainHall,hallA,out
2905,mainHall,other,mainHall,out
2906,out,hallC,other,out
2907,out,other,other,out
2908,out,other,out,out
2909,out,mainHall,mainHall,out
2910,exhibition,hallA,hallA,out
2911,out,hallB,hallB,out
2912,mainHall,mainHall,hallA,out
2913,other,other,out,out
2914,other,other,other,out
2915,out,hallB,other,out
2916,mainHall,mainHall,other,out
2917,mainHall,mainHall,hallA,out
2918,mainHall,mainHall,other,out
2919,mainHall,exhibition,other,out
2920,other,other,other,out
2921,mainHall,mainHall,other,out
2922,mainHall,mainHall,hallA,out
2923,out,hallB,hallB,out
2924,out,out,mainHall,out
2925,other,other,out,out
2926,other,other,other,out
2927,exhibition,out,out,out
2928,mainHall,mainHall,mainHall,out
2929,mainHall,hallB,mainHall,out
